Code,PR_Batch,EHI_number,IN Code (from EHI_number),ENA accession,Raw data (GB),species,Reference genome,Reference genome species,Reference genome closeness,Number of previous preprocessings,alias_bam,alias_fastq,Autonumber1,Autonumber2,AB (Assembly+Binning),reads_pre_fastp,reads_post_fastp,bases_pre_fastp,bases_post_fastp,adapter_trimmed_reads,adapter_trimmed_bases,host_reads,metagenomic_bases,host_bases,reads_lost_fastp_percent,bases_lost_fastp_percent,adapter_percent,host_percent,singlem_fraction,Indexed library molarity,Adaptor/library ratio,Index (from Sequence alias),IN Code (from Sequence alias),Volume (ul) (from Sequence alias),ENA_run_accession,ENA_sample_accession,ENA_experiment_accession,ENA_project_accession,analysis_code,project,analysis_center,analysis_date,file_name_bam,file_name_fastq1,file_name_fastq2,analysis_protocol,latitude,longitude,geocache,geographic location,Initial DNA for library (from IN Code) (from EHI_number),region,sample_type,bacterial_archaeal_bases,AB (Assembly+Binning) 2,Number of assemblies,Number of MAGs,kappa,C,LR,modelR,LRstar,diversity,Submit_PR,nonpareil_estimated_coverage,number_bins,assembly_batches,status,host_bam_url,sex,order,country
PR00688,PRB0001,EHI00075,ABK18E1L1I1,ERR9762933,5.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00075G1,EHI00075M1,688,00688,,27761050,26811026,4164157500,3893937036,3810225,135306522,2898518,3449546649,444390387,3%,6%,3%,11%,60%,26.84,0.00,123,ABK18E1L1I1,1.00,ERR9762933,SAMEA14374145,ERX9310780,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00075_G.bam,EHI00075_M_1.fq.gz,EHI00075_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.737,-0.590,,"42.7373,-0.589984",189.0,Aragón,Faecal,2082382555.0,EHA00272,1,21,0.8315,0.8448,1724762150,0.9998,7276621349,18.8774,,23.703%,21,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00075_G.bam,Male,Squamata,Spain
PR00689,PRB0001,EHI00076,ABI40E1L1I1,ERR9762934,7.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00076G1,EHI00076M1,689,00689,,37817906,37084126,5672685900,5337631223,6604876,240049556,540936,5256239320,81391903,2%,6%,4%,2%,62%,37.54,0.00,124,ABI40E1L1I1,1.00,ERR9762934,SAMEA14374160,ERX9310781,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00076_G.bam,EHI00076_M_1.fq.gz,EHI00076_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.789,-0.597,,"42.7889,-0.597015",192.0,Aragón,Faecal,3236813130.0,EHA00273,1,33,0.9152,0.9222,2628100714,0.9995,3948420814,18.8556,,66.561%,33,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00076_G.bam,Male,Squamata,Spain
PR00690,PRB0001,EHI00077,ABL45E1L1I1,ERR9762935,8.10,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00077G1,EHI00077M1,690,00690,,17069218,16764914,2560382700,2425033217,2710059,94504800,4283760,1783262590,641770627,2%,5%,4%,26%,62%,24.34,0.00,125,ABL45E1L1I1,1.10,ERR9762935,SAMEA14374124,ERX9310782,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00077_G.bam,EHI00077_M_1.fq.gz,EHI00077_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.637,0.755,,"42.6368,0.755111",122.6,Catalunya,Faecal,1107916777.0,EHA00274,1,8,0.7534,0.7719,891622954,0.9998,6553755608,18.7250,,13.605%,8,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00077_G.bam,Male,Squamata,Spain
PR00691,PRB0001,EHI00079,ABL19E1L1I1,ERR9762937,2.90,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00079G1,EHI00079M1,691,00691,,29550864,28540588,4432629600,4094839007,5585349,199028908,18228964,1373801946,2721037061,3%,8%,4%,66%,47%,26.36,0.00,127,ABL19E1L1I1,1.00,ERR9762937,SAMEA14374116,ERX9310784,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00079_G.bam,EHI00079_M_1.fq.gz,EHI00079_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.506,0.719,,"42.5058,0.718685",14.8,Aragón,Faecal,641550644.0,EHA00275,1,6,0.6882,0.7107,686891643,0.9996,7095671628,19.0683,,9.68%,6,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00079_G.bam,Male,Squamata,Spain
PR00692,PRB0001,EHI00080,ABL37E1L1I1,ERR9762938,3.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00080G1,EHI00080M1,692,00692,,49225742,47196770,7383861300,6654664880,11828393,471855084,10724514,5049477727,1605187153,4%,10%,6%,24%,45%,42.19,0.00,128,ABL37E1L1I1,1.20,ERR9762938,SAMEA14374122,ERX9310785,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00080_G.bam,EHI00080_M_1.fq.gz,EHI00080_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.637,0.755,,"42.6368,0.755111",87.1,Catalunya,Faecal,2266915570.0,EHA00276,1,15,0.8119,0.8266,2524672495,0.9924,45859984608,18.9227,,5.505%,15,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00080_G.bam,Male,Squamata,Spain
PR00693,PRB0001,EHI00081,ABK88E1L1I1,ERR9762939,3.60,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00081G1,EHI00081M1,693,00693,,18955172,18098526,2843275800,2624857793,2631304,98455036,4787646,1897409703,727448090,5%,8%,3%,28%,53%,32.24,0.00,129,ABK88E1L1I1,1.20,ERR9762939,SAMEA14374110,ERX9310786,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00081_G.bam,EHI00081_M_1.fq.gz,EHI00081_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.598,0.763,,"42.5981,0.763111",193.8,Aragón,Faecal,996753151.0,EHA00277,1,9,0.7691,0.7867,948697968,0.9991,7695668370,18.7242,,12.328%,9,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00081_G.bam,Male,Squamata,Spain
PR00694,PRB0001,EHI00085,ABL25E1L1I1,ERR9762943,4.00,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00085G1,EHI00085M1,694,00694,,19580084,18818378,2937012600,2707003928,3370809,123867421,1445814,2494742094,212261834,4%,8%,4%,8%,58%,19.10,0.00,133,ABL25E1L1I1,1.40,ERR9762943,SAMEA14374117,ERX9310790,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00085_G.bam,EHI00085_M_1.fq.gz,EHI00085_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.506,0.719,,"42.5058,0.718685",12.3,Aragón,Faecal,1440094037.0,EHA00278,1,17,0.8740,0.8842,1247360349,0.9995,3022163199,18.2292,,41.274%,17,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00085_G.bam,Male,Squamata,Spain
PR00695,PRB0001,EHI00086,ABK90E1L1I1,ERR9762944,2.80,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00086G1,EHI00086M1,695,00695,,23905550,22681308,3585832500,3238714910,4640598,184890777,2767528,2821121298,417593612,5%,10%,5%,13%,52%,21.79,0.00,134,ABK90E1L1I1,1.20,ERR9762944,SAMEA14374111,ERX9310791,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00086_G.bam,EHI00086_M_1.fq.gz,EHI00086_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.598,0.763,,"42.5981,0.763111",190.3,Aragón,Faecal,1472589954.0,EHA00279,1,10,0.8289,0.8424,1410553923,0.9992,5453417540,18.8358,,25.866%,10,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00086_G.bam,Male,Squamata,Spain
PR00696,PRB0001,EHI00088,ABK71E1L1I1,ERR9762946,8.10,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00088G1,EHI00088M1,696,00696,,25795800,25127798,3869370000,3641503731,3761769,134693905,476216,3569734521,71769210,3%,6%,3%,2%,66%,18.64,0.00,136,ABK71E1L1I1,1.40,ERR9762946,SAMEA14374157,ERX9310793,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00088_G.bam,EHI00088_M_1.fq.gz,EHI00088_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.712,-0.607,,"42.71173,-0.606746",190.8,Aragón,Faecal,2347788681.0,EHA00280,1,22,0.8795,0.8893,1784865154,0.9999,4278844816,18.2821,,41.714%,22,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00088_G.bam,Male,Squamata,Spain
PR00697,PRB0001,EHI00089,ABI56E1L1I1,ERR9762947,3.80,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00089G1,EHI00089M1,697,00697,,17893358,17349180,2684003700,2508812734,2725687,99611634,233090,2473897563,34915171,3%,7%,4%,1%,60%,21.84,0.00,137,ABI56E1L1I1,1.20,ERR9762947,SAMEA14374165,ERX9310794,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00089_G.bam,EHI00089_M_1.fq.gz,EHI00089_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.789,-0.597,,"42.7889,-0.597015",190.8,Aragón,Faecal,1473981993.0,EHA00281,1,0,0.8647,0.8756,1236941390,0.9955,3450882999,16.8373,,35.844%,0,1,Assembly,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0001/EHI00089_G.bam,Male,Squamata,Spain
PR00698,PRB0002,EHI00091,ABI58E1L1I1,ERR9762949,4.10,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00091G1,EHI00091M1,698,00698,,25401916,24634366,3810287400,3548012908,4197377,158908092,1582390,3317973426,230039482,3%,7%,4%,6%,57%,23.23,0.00,139,ABI58E1L1I1,1.10,ERR9762949,SAMEA14374166,ERX9310796,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00091_G.bam,EHI00091_M_1.fq.gz,EHI00091_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.789,-0.597,,"42.7889,-0.597015",153.6,Aragón,Faecal,1901581692.0,EHA00282,1,15,0.8440,0.8564,1658977492,0.9997,5180210893,18.7763,,32.025%,15,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00091_G.bam,Male,Squamata,Spain
PR00699,PRB0002,EHI00092,ABJ91E1L1I1,ERR9762950,5.40,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00092G1,EHI00092M1,699,00699,,43375542,42256660,6506331300,6114558933,6619689,239621938,1144520,5943716483,170842450,3%,6%,4%,3%,74%,27.54,0.00,140,ABJ91E1L1I1,1.40,ERR9762950,SAMEA14374140,ERX9310797,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00092_G.bam,EHI00092_M_1.fq.gz,EHI00092_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.627,0.764,,"42.62721,0.763644",195.3,Catalunya,Faecal,4396253715.0,EHA00283,1,10,0.9634,0.9665,2971827204,0.9983,351177253,16.1027,,846.247%,10,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00092_G.bam,Male,Squamata,Spain
PR00700,PRB0002,EHI00093,ABL92E1L1I1,ERR9762951,2.70,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00093G1,EHI00093M1,700,00700,,27198380,26017012,4079757000,3707183126,5679060,215740592,1363664,3507549808,199633318,4%,9%,5%,5%,54%,33.67,0.00,141,ABL92E1L1I1,1.20,ERR9762951,SAMEA14374108,ERX9310798,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00093_G.bam,EHI00093_M_1.fq.gz,EHI00093_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.477,0.715,,"42.477,0.714563",37.0,Catalunya,Faecal,1885628303.0,EHA00284,1,19,0.7487,0.7675,1753725604,0.9985,16693760128,19.5273,,10.505%,19,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00093_G.bam,Male,Squamata,Spain
PR00701,PRB0002,EHI00095,ABL86E1L1I1,ERR9762953,4.10,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00095G1,EHI00095M1,701,00701,,18013512,17374782,2702026800,2525171823,2459843,85566947,1686716,2269181675,255990148,4%,7%,3%,10%,63%,14.55,0.00,143,ABL86E1L1I1,1.80,ERR9762953,SAMEA14374105,ERX9310800,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00095_G.bam,EHI00095_M_1.fq.gz,EHI00095_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.477,0.715,,"42.477,0.714563",188.9,Catalunya,Faecal,1435834781.0,EHA00285,1,11,0.8374,0.8503,1134585106,0.9997,4558503596,18.1206,,24.889%,11,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00095_G.bam,Male,Squamata,Spain
PR00702,PRB0002,EHI00097,ABK46E1L1I1,ERR9762955,3.90,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00097G1,EHI00097M1,702,00702,,31085950,29412092,4662892500,4137971084,7673406,304664794,2639232,3771419701,366551383,5%,11%,7%,9%,59%,12.47,0.04,145,ABK46E1L1I1,1.00,ERR9762955,SAMEA14374149,ERX9310802,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00097_G.bam,EHI00097_M_1.fq.gz,EHI00097_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.775,-0.594,,"42.775299,-0.593873",4.1,Aragón,Faecal,2233157124.0,EHA00286,1,12,0.8797,0.8895,1885675267,0.9996,6956702066,18.4119,,27.106%,12,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00097_G.bam,Male,Squamata,Spain
PR00703,PRB0002,EHI00098,ABJ51E1L1I1,ERR9762956,3.50,Podarcis muralis,G0001,Podarcis muralis,Same,1,EHI00098G1,EHI00098M1,703,00703,,34897718,34027756,5234657700,4917018226,5533914,198982781,278142,4876970597,40047629,2%,6%,4%,1%,54%,21.08,0.00,146,ABJ51E1L1I1,1.20,ERR9762956,SAMEA14374130,ERX9310803,PRJEB51864,https://github.com/earthhologenome/EHI_bioinformatics/blob/main/0_Code/1_Preprocess_QC.snakefile,Podarcis muralis,EHI,2023-03-30,EHI00098_G.bam,EHI00098_M_1.fq.gz,EHI00098_M_2.fq.gz,https://github.com/earthhologenome/EHI_bioinformatics,42.556,0.753,,"42.55591,0.752807",193.6,Catalunya,Faecal,2640009002.0,EHA00287,1,28,0.8371,0.8500,2438474843,0.9991,9517572729,19.4080,,25.621%,28,1,Assembly + MAGs,https://sid.erda.dk/share_redirect/BaMZodj9sA/PPR/PRB0002/EHI00098_G.bam,Male,Squamata,Spain
